2026-04-12 22:37:41,082 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 9 вне диапазона): Криптадля занятых: Аирдроп Арбитрума... - YouTube
2026-04-12 22:37:42,762 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 4 вне диапазона): КРИПТА- РАЗОЧАРОВАНИЕ! / Не совершай моих... - You
2026-04-12 22:37:44,470 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 72 вне диапазона): Крипта-бери и делай так же!
2026-04-12 22:37:46,105 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта: как на ней зарабатывают и теряют миллионы?
2026-04-12 22:37:48,112 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 67 вне диапазона): Твоя крипта может быть «грязной». Даже если ты нич
2026-04-12 22:37:49,612 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 67 вне диапазона): Как начать инвестировать в крипту в 2026 и не пожа
2026-04-12 22:37:51,575 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 125 вне диапазона): Крипта — ВСЕ? Куда идет Биткоин? Золото на ATH и с
2026-04-12 22:37:53,222 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта и обман: разоблачение схем, курсов и прогре
2026-04-12 22:37:55,948 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 67 вне диапазона): Крипта 2025: деньги, за которыми приходят - YouTub
2026-04-12 22:37:57,652 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): НОВЫЕ ПРАВИЛА ИГРЫ - Нефть, Крипта, Индексы - Что
2026-04-12 22:37:59,344 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Чиновники, аресты, санкции, многомиллиардные крахи
2026-04-12 22:38:00,973 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): P2P УМЕР! Что дальше? | Легальная крипта в России
2026-04-12 22:38:02,736 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 143 вне диапазона): Геополитика и крипта, рынок меняется! Bitcoin, Xst
2026-04-12 22:38:03,090 | INFO | Thread-27 (process_youtube_trends) | [YouTube Trends] Запрос: site:youtube.com/watch крипта смотреть
